baseload,ev,fridge,hair_dryer,pc,pv,resistive,synchronous,washing_machine,laptop,stand_cooler,table_fan,table_pv,hour
-0.021554947,-0.016037807,-0.00083907694,-0.008488722,-0.035518177,-0.03998733,-0.025695428,-0.053486302,-0.008663107,38.142067,27.368101,15.502082,-1.2850734,0.2638888888888889
-0.0250597,0.008397214,0.008491583,0.0038964152,-0.0017304271,-0.0025363676,-0.012981743,-0.009998716,0.013093259,38.00424,27.336666,15.15091,-1.2978866,0.2652777777777778
-0.03941886,0.06113345,-0.0020412132,0.017531514,-0.06301684,0.032381114,-0.014986426,-0.033740617,-0.019582093,39.186928,27.642464,15.542294,-1.5400115,0.26666666666666666
0.012585007,0.014200017,-0.027374856,0.014211379,0.023246348,0.0019341484,0.04912895,-0.0427443,0.01072856,51.54239,27.485628,15.472592,-2.5402737,0.26805555555555555
-0.04834251,0.00048238784,-0.021312833,-0.020998865,0.020121552,0.04237352,0.06063783,-0.037064068,0.013407122,49.239487,27.666687,15.43066,-2.4000633,0.26944444444444443
0.00029331446,0.024968073,0.014924757,-0.102617264,-0.07052039,0.039123565,-0.07819158,-0.017350048,0.08290629,56.24729,26.1873,14.386626,-3.0655873,0.2708333333333333
0.009845965,0.1063579,-0.007985935,-0.055125013,-0.15044168,-0.061420944,0.08633244,-0.0050231144,0.02315548,43.768696,1.0682224,-0.64488626,-1.7338094,0.2722222222222222
0.13446942,0.09006685,0.018101923,0.023306862,0.1291809,0.081817925,0.09428124,0.017346956,-0.0875175,49.261616,15.615297,14.326736,-1.7459189,0.27361111111111114
-0.02287507,-0.04152058,0.043773215,-0.017569244,-0.08746568,0.016441919,-0.08649689,-0.13813293,-0.0138613405,62.115772,29.099005,16.186567,-0.4863265,0.275
0.00865484,0.010348536,0.008254483,-0.03350267,-0.03462801,0.046908386,-0.03967075,-0.049620263,0.026910368,58.34879,27.706041,15.119289,-1.5200548,0.2763888888888889
-0.06304191,0.0099112615,0.05400085,-0.032150716,-0.06058512,0.012357399,-0.058628947,-0.019746073,-0.010798376,59.711792,28.13667,15.657029,-1.1148783,0.2777777777777778
0.022325732,0.07035884,0.011610024,-0.060192034,-0.014990598,-0.045394693,-0.015282989,-0.04693857,0.054846123,58.56443,27.600788,14.931041,-1.200615,0.2791666666666667
-0.039731696,0.03816045,0.045094445,-0.08287665,-0.026581526,-0.017553445,-0.011946499,0.008308131,0.029275607,59.04495,28.05707,15.542191,-0.97611785,0.28055555555555556
-0.041602746,-0.06462255,0.024603568,0.02937103,0.020398118,-0.02288663,-0.08852788,-0.11397769,0.008507319,62.32344,29.076704,15.936299,-0.5287304,0.28194444444444444
0.010317653,0.016363658,-0.016325586,-0.007747002,-0.015849091,0.02713902,-0.038081773,-0.09397193,0.04727163,60.188572,28.317078,15.701282,-0.8124192,0.2833333333333333
-0.13401166,0.019643039,0.07172865,0.042862408,-0.015539788,-0.056182932,-0.03631682,-0.014590144,0.036527008,62.463314,25.886013,0.9073113,-0.00042775273,0.2847222222222222
0.09893006,0.022270545,-0.13057718,0.0936073,-0.21540275,0.011387058,0.07320073,-0.20644853,0.028385464,62.83668,-1.5187755,9.886452,-0.9785298,0.2861111111111111
0.07547969,-0.061455786,0.044409726,-0.08832283,0.033016913,0.038350098,-0.22773977,-0.114845075,0.006478086,62.8234,23.317486,13.762878,-0.26793593,0.2875
-0.050069854,0.00047356635,0.03631495,0.004047811,-0.05885046,0.018413853,-0.04189927,-0.043738946,0.03829301,60.323833,28.35867,15.774848,-0.75682914,0.28888888888888886
-0.052336216,-0.020381436,0.03799189,-0.029524237,-0.03582818,0.0122432,-0.06831262,-0.06404557,0.01435779,60.46019,28.208479,16.143175,-1.1927094,0.2902777777777778
-0.026603177,0.02757731,0.06082237,-0.009026915,-0.050810017,-0.0048890524,-0.054728404,-0.08028556,0.018814772,60.490597,28.425854,15.950065,-0.86142814,0.2916666666666667
0.0749298,0.082516715,0.047048066,-0.021094292,0.021091834,0.007957488,-0.07117415,-0.08000966,0.02167898,60.37363,28.679932,15.904249,-1.3527737,0.29305555555555557
-0.052628502,0.050258465,0.046500552,0.013197459,-0.03096097,0.026806436,-0.018054739,-0.03720805,0.023747344,60.499866,28.437963,15.912675,-0.8602035,0.29444444444444445
0.15413298,0.026027419,-0.009680457,0.08677409,0.08349751,0.07214675,0.07328044,-0.006300546,0.019982032,12.590341,27.41634,16.332247,-2.7775552,0.29583333333333334
0.08259455,0.00411056,0.03128822,0.03374175,-0.058011748,0.026441704,0.13737895,0.18681496,0.009598393,3.8451939,24.85453,10.163136,-2.1970417,0.2972222222222222
0.08487754,0.018797189,0.04770032,0.053449295,-0.16808122,0.029988226,0.17388187,-0.007340066,0.12181862,28.908817,21.325018,2.826252,-2.5356126,0.2986111111111111
0.112608016,0.06783736,-0.0002033487,0.022606015,-0.17317912,0.007689137,0.08180714,0.08659148,0.09517967,37.466167,-0.93847644,13.373593,-2.58127,0.3
0.1301454,-0.08890793,0.00981307,-0.04138805,-0.102245755,0.018351994,0.041707367,-0.014196582,0.028428894,36.8205,26.360905,14.82976,-0.9168886,0.3013888888888889
-0.055736482,-0.036562607,-0.022599712,0.052031882,-0.05911299,-0.02779426,0.01815477,-0.0651486,0.041271158,38.654446,27.19099,15.269999,-1.371111,0.30277777777777776
-0.028971717,-0.023454443,-0.016405836,-0.036557004,-0.073567174,-0.009525519,-0.08535292,-0.0847503,0.028978072,41.424435,27.62313,15.406812,-1.3068644,0.30416666666666664
-0.004601747,0.026566796,-0.015099347,-0.001053147,0.028379977,-0.039683174,-0.066721424,-0.1555295,-0.045535117,53.306255,27.507597,15.342157,-2.6464021,0.3055555555555556
